986	Igbo
987	Kinyarwanda (Rwanda)
988	Lingala
989	Luba-Kasai
990	Mòoré
991	Mwani
992	Ndebele
993	Rundi (Kirundi)
994	Shona
995	Soninke
996	Sotho-Tswana languages
997	Swahili
998	Wojenaka
999	Wolof
1000	Yoruba
1001	Niger-Congo languages, n.i.e.
1002	Nilo-Saharan languages
1003	Dinka
1004	Nuer
1005	Nilo-Saharan languages, n.i.e.
1006	African, n.o.s.
1007	Sign languages
1008	American Sign Language
1009	Quebec Sign Language
1010	Sign languages, n.i.e.
1011	Sino-Tibetan languages
1012	Chinese languages
1013	Hakka
1014	Mandarin
1015	Min Dong
1016	Min Nan (Chaochow, Teochow, Fukien, Taiwanese)
1017	Wu (Shanghainese)
1018	Yue (Cantonese)
1019	Chinese, n.o.s.
1020	Chinese languages, n.i.e.
1021	Tibeto-Burman languages
1022	Burmese
1023	Kuki-Chin languages
1024	Karenic languages
1025	S'gaw Karen
1026	Karenic languages, n.i.e.
1027	Tibetan
1028	Tibeto-Burman languages, n.i.e.
1029	Sino-Tibetan languages, n.i.e.
1030	Tai-Kadai languages
1031	Lao
1032	Thai
1033	Tai-Kadai languages, n.i.e.
1034	Turkic languages
1035	Azerbaijani
1036	Kazakh
1037	Turkish
1038	Uyghur
1039	Uzbek
1040	Turkic languages, n.i.e.
1041	Uralic languages
1042	Estonian
1043	Finnish
1044	Hungarian
1045	Other languages, n.i.e.
1046	Multiple responses
1047	English and French
1048	English and non-official language(s)
1049	French and non-official language(s)
1050	English, French and non-official language(s)
1051	Multiple non-official languages
1052	Total - Other language(s) spoken regularly at home for the total population excluding institutional residents - 100% data
1053	None
1054	English
1055	French
1056	Non-official language
1057	Indigenous
1058	Non-Indigenous
1059	English and French
1060	English and non-official language(s)
1061	French and non-official language(s)
1062	English, French and non-official language(s)
1063	Multiple non-official languages
